Threshold,Accuracy,Precision,Recall,Specificity,F1,TP,TN,FP,FN
0.6699999999999997,0.911504424778761,0.9571428571428572,0.7976190476190477,0.9788732394366197,0.8701298701298701,67,139,3,17
0.6799999999999997,0.9070796460176991,0.9565217391304348,0.7857142857142857,0.9788732394366197,0.8627450980392157,66,139,3,18
0.6899999999999997,0.9070796460176991,0.9565217391304348,0.7857142857142857,0.9788732394366197,0.8627450980392157,66,139,3,18
0.6999999999999996,0.8982300884955752,0.9552238805970149,0.7619047619047619,0.9788732394366197,0.847682119205298,64,139,3,20
0.7099999999999996,0.8938053097345132,0.9545454545454546,0.75,0.9788732394366197,0.84,63,139,3,21
0.7199999999999996,0.8893805309734514,0.9538461538461539,0.7380952380952381,0.9788732394366197,0.8322147651006712,62,139,3,22
0.7299999999999996,0.8849557522123894,0.953125,0.7261904761904762,0.9788732394366197,0.8243243243243243,61,139,3,23
0.7399999999999997,0.8849557522123894,0.953125,0.7261904761904762,0.9788732394366197,0.8243243243243243,61,139,3,23
0.7499999999999997,0.8849557522123894,0.953125,0.7261904761904762,0.9788732394366197,0.8243243243243243,61,139,3,23
0.7599999999999997,0.8805309734513275,0.9523809523809523,0.7142857142857143,0.9788732394366197,0.8163265306122449,60,139,3,24
0.7699999999999997,0.8761061946902655,0.9516129032258065,0.7023809523809523,0.9788732394366197,0.8082191780821918,59,139,3,25
0.7799999999999997,0.8716814159292036,0.9508196721311475,0.6904761904761905,0.9788732394366197,0.8,58,139,3,26
0.7899999999999996,0.8716814159292036,0.9508196721311475,0.6904761904761905,0.9788732394366197,0.8,58,139,3,26
0.7999999999999996,0.8672566371681416,0.95,0.6785714285714286,0.9788732394366197,0.7916666666666666,57,139,3,27
0.8099999999999996,0.8628318584070797,0.9491525423728814,0.6666666666666666,0.9788732394366197,0.7832167832167832,56,139,3,28
0.8199999999999996,0.8584070796460177,0.9482758620689655,0.6547619047619048,0.9788732394366197,0.7746478873239436,55,139,3,29
0.8299999999999996,0.8539823008849557,0.9473684210526315,0.6428571428571429,0.9788732394366197,0.7659574468085106,54,139,3,30
0.8399999999999996,0.8495575221238938,0.9464285714285714,0.6309523809523809,0.9788732394366197,0.7571428571428571,53,139,3,31
0.8499999999999996,0.8407079646017699,0.9444444444444444,0.6071428571428571,0.9788732394366197,0.7391304347826086,51,139,3,33
0.8599999999999995,0.831858407079646,0.9423076923076923,0.5833333333333334,0.9788732394366197,0.7205882352941176,49,139,3,35
0.8699999999999996,0.827433628318584,0.9411764705882353,0.5714285714285714,0.9788732394366197,0.7111111111111111,48,139,3,36
0.8799999999999996,0.8230088495575221,0.94,0.5595238095238095,0.9788732394366197,0.7014925373134329,47,139,3,37
0.8899999999999996,0.8185840707964602,0.9574468085106383,0.5357142857142857,0.9859154929577465,0.6870229007633588,45,140,2,39
0.8999999999999996,0.8141592920353983,0.9565217391304348,0.5238095238095238,0.9859154929577465,0.676923076923077,44,140,2,40
